date,Postcode,Type,Id,Price,No.Of Sales
1/3/2019,4000,Units,1,525000,513
1/4/2019,4000,Units,1,516500,508
1/5/2019,4000,Units,1,520000,475
1/6/2019,4000,Units,1,520000,446
1/7/2019,4000,Units,1,515000,449
1/8/2019,4000,Units,1,515000,445
1/9/2019,4000,Units,1,505000,435
1/10/2019,4000,Units,1,505000,435
1/11/2019,4000,Units,1,510000,439
1/12/2019,4000,Units,1,500000,444
1/1/2020,4000,Units,1,500000,436
1/2/2020,4000,Units,1,495000,464
1/3/2020,4000,Units,1,490000,457
1/4/2020,4000,Units,1,491250,436
1/5/2020,4000,Units,1,485000,433
1/6/2020,4000,Units,1,490000,446
1/7/2020,4000,Units,1,490000,422
1/8/2020,4000,Units,1,490000,411
1/9/2020,4000,Units,1,490000,409
1/10/2020,4000,Units,1,498500,402
1/11/2020,4000,Units,1,490000,407
1/12/2020,4000,Units,1,500000,419
1/1/2021,4000,Units,1,500000,428
1/2/2021,4000,Units,1,507500,415
1/3/2021,4000,Units,1,513750,447
1/4/2021,4000,Units,1,522462,484
1/5/2021,4000,Units,1,527750,514
1/6/2021,4000,Units,1,520000,537
1/7/2021,4000,Units,1,517500,576
1/8/2021,4000,Units,1,520000,580
1/9/2021,4000,Units,1,530000,608
1/10/2021,4000,Units,1,527250,648
1/11/2021,4000,Units,1,525000,671
1/12/2021,4000,Units,1,527000,679
1/1/2022,4000,Units,1,525000,687
1/2/2022,4000,Units,1,520000,714
1/3/2022,4000,Units,1,520000,710
1/4/2022,4000,Units,1,515000,717
1/5/2022,4000,Units,1,515000,735
1/6/2022,4000,Units,1,515000,728
1/7/2022,4000,Units,1,525000,715
1/8/2022,4000,Units,1,515000,753
1/9/2022,4000,Units,1,510000,757
1/10/2022,4000,Units,1,512250,740
1/11/2022,4000,Units,1,510000,728
1/12/2022,4000,Units,1,505400,726
1/1/2023,4000,Units,1,500000,722
1/2/2023,4000,Units,1,508500,730
1/3/2023,4000,Units,1,515000,750
1/4/2023,4000,Units,1,520000,751
1/5/2023,4000,Units,1,547500,834
1/6/2023,4000,Units,1,550000,834
1/7/2023,4000,Units,1,557000,847
1/8/2023,4000,Units,1,555000,855
1/9/2023,4000,Units,1,560000,870
1/10/2023,4000,Units,1,565000,891
1/11/2023,4000,Units,1,565500,911
1/12/2023,4000,Units,1,578750,914
1/1/2024,4000,Units,1,581000,915
1/2/2024,4000,Units,1,582000,873
1/3/2019,4005,Units,2,595000,199
1/4/2019,4005,Units,2,592500,207
1/5/2019,4005,Units,2,580000,208
1/6/2019,4005,Units,2,585000,211
1/7/2019,4005,Units,2,595000,215
1/8/2019,4005,Units,2,604000,222
1/9/2019,4005,Units,2,599000,228
1/10/2019,4005,Units,2,589500,244
1/11/2019,4005,Units,2,604000,253
1/12/2019,4005,Units,2,607500,263
1/1/2020,4005,Units,2,640000,259
1/2/2020,4005,Units,2,645000,259
1/3/2020,4005,Units,2,640000,257
1/4/2020,4005,Units,2,645000,244
1/5/2020,4005,Units,2,650000,241
1/6/2020,4005,Units,2,650000,244
1/7/2020,4005,Units,2,645000,245
1/8/2020,4005,Units,2,642500,250
1/9/2020,4005,Units,2,680000,258
1/10/2020,4005,Units,2,680000,266
1/11/2020,4005,Units,2,685000,265
1/12/2020,4005,Units,2,700000,267
1/1/2021,4005,Units,2,685000,266
1/2/2021,4005,Units,2,687500,281
1/3/2021,4005,Units,2,705000,299
1/4/2021,4005,Units,2,680000,319
1/5/2021,4005,Units,2,680000,327
1/6/2021,4005,Units,2,682500,334
1/7/2021,4005,Units,2,700000,339
1/8/2021,4005,Units,2,685000,344
1/9/2021,4005,Units,2,680000,345
1/10/2021,4005,Units,2,677500,346
1/11/2021,4005,Units,2,681250,348
1/12/2021,4005,Units,2,700500,344
1/1/2022,4005,Units,2,711000,342
1/2/2022,4005,Units,2,715000,327
1/3/2022,4005,Units,2,715000,323
1/4/2022,4005,Units,2,750000,320
1/5/2022,4005,Units,2,750000,327
1/6/2022,4005,Units,2,747500,330
1/7/2022,4005,Units,2,732500,321
1/8/2022,4005,Units,2,743000,314
1/9/2022,4005,Units,2,747500,304
1/10/2022,4005,Units,2,750000,298
1/11/2022,4005,Units,2,750000,291
1/12/2022,4005,Units,2,750000,293
1/1/2023,4005,Units,2,745000,291
1/2/2023,4005,Units,2,738000,288
1/3/2023,4005,Units,2,735500,278
1/4/2023,4005,Units,2,736000,269
1/5/2023,4005,Units,2,735000,264
1/6/2023,4005,Units,2,760000,254
1/7/2023,4005,Units,2,750000,253
1/8/2023,4005,Units,2,762500,260
1/9/2023,4005,Units,2,772000,263
1/10/2023,4005,Units,2,790000,258
1/11/2023,4005,Units,2,794500,266
1/12/2023,4005,Units,2,790000,264
1/1/2024,4005,Units,2,799000,259
1/2/2024,4005,Units,2,799000,243
1/3/2019,4005,Units,3,548500,199
1/4/2019,4005,Units,3,550000,207
1/5/2019,4005,Units,3,550000,208
1/6/2019,4005,Units,3,560000,211
1/7/2019,4005,Units,3,560000,215
1/8/2019,4005,Units,3,565500,222
1/9/2019,4005,Units,3,570000,228
1/10/2019,4005,Units,3,565250,234
1/11/2019,4005,Units,3,570000,244
1/12/2019,4005,Units,3,568750,253
1/1/2020,4005,Units,3,570000,263
1/2/2020,4005,Units,3,570000,259
1/3/2020,4005,Units,3,570000,257
1/4/2020,4005,Units,3,567500,244
1/5/2020,4005,Units,3,585000,241
1/6/2020,4005,Units,3,585000,244
1/7/2020,4005,Units,3,585000,245
1/8/2020,4005,Units,3,585000,250
1/9/2020,4005,Units,3,580000,258
1/10/2020,4005,Units,3,600000,266
1/11/2020,4005,Units,3,610000,265
1/12/2020,4005,Units,3,610000,267
1/1/2021,4005,Units,3,608875,266
1/2/2021,4005,Units,3,622200,281
1/3/2021,4005,Units,3,635000,299
1/4/2021,4005,Units,3,641500,319
1/5/2021,4005,Units,3,648120,327
1/6/2021,4005,Units,3,650000,334
1/7/2021,4005,Units,3,650000,339
1/8/2021,4005,Units,3,650000,344
1/9/2021,4005,Units,3,655000,345
1/10/2021,4005,Units,3,663750,346
1/11/2021,4005,Units,3,668750,348
1/12/2021,4005,Units,3,675000,344
1/1/2022,4005,Units,3,675000,342
1/2/2022,4005,Units,3,675000,327
1/3/2022,4005,Units,3,680000,323
1/4/2022,4005,Units,3,691000,320
1/5/2022,4005,Units,3,691750,327
1/6/2022,4005,Units,3,700000,330
1/7/2022,4005,Units,3,705000,321
1/8/2022,4005,Units,3,710000,314
1/9/2022,4005,Units,3,720000,304
1/10/2022,4005,Units,3,720000,298
1/11/2022,4005,Units,3,720000,291
1/12/2022,4005,Units,3,720000,293
1/1/2023,4005,Units,3,729500,291
1/2/2023,4005,Units,3,730000,288
1/3/2023,4005,Units,3,744500,278
1/4/2023,4005,Units,3,740000,269
1/5/2023,4005,Units,3,744000,264
1/6/2023,4005,Units,3,740000,254
1/7/2023,4005,Units,3,735000,253
1/8/2023,4005,Units,3,730000,260
1/9/2023,4005,Units,3,725000,263
1/10/2023,4005,Units,3,740000,258
1/11/2023,4005,Units,3,757000,266
1/12/2023,4005,Units,3,762500,264
1/1/2024,4005,Units,3,767500,259
1/2/2024,4005,Units,3,775000,243
1/3/2019,4006,Units,4,640000,291
1/4/2019,4006,Units,4,640000,301
1/5/2019,4006,Units,4,640000,287
1/6/2019,4006,Units,4,640000,259
1/7/2019,4006,Units,4,640000,263
1/8/2019,4006,Units,4,644612,260
1/9/2019,4006,Units,4,640000,268
1/10/2019,4006,Units,4,640000,259
1/11/2019,4006,Units,4,645600,245
1/12/2019,4006,Units,4,651250,246
1/1/2020,4006,Units,4,650000,247
1/2/2020,4006,Units,4,657500,254
1/3/2020,4006,Units,4,660000,233
1/4/2020,4006,Units,4,660000,221
1/5/2020,4006,Units,4,660250,213
1/6/2020,4006,Units,4,659000,217
1/7/2020,4006,Units,4,658000,223
1/8/2020,4006,Units,4,645000,220
1/9/2020,4006,Units,4,650000,213
1/10/2020,4006,Units,4,645000,210
1/11/2020,4006,Units,4,634400,206
1/12/2020,4006,Units,4,640000,203
1/1/2021,4006,Units,4,640000,213
1/2/2021,4006,Units,4,634400,226
1/3/2021,4006,Units,4,626500,250
1/4/2021,4006,Units,4,610000,271
1/5/2021,4006,Units,4,600000,295
1/6/2021,4006,Units,4,615000,307
1/7/2021,4006,Units,4,615000,314
1/8/2021,4006,Units,4,615000,334
1/9/2021,4006,Units,4,615000,360
1/10/2021,4006,Units,4,621250,386
1/11/2021,4006,Units,4,628000,413
1/12/2021,4006,Units,4,628000,429
1/1/2022,4006,Units,4,625000,432
1/2/2022,4006,Units,4,625000,431
1/3/2022,4006,Units,4,630000,437
1/4/2022,4006,Units,4,646500,434
1/5/2022,4006,Units,4,649000,437
1/6/2022,4006,Units,4,649000,437
1/7/2022,4006,Units,4,650000,435
1/8/2022,4006,Units,4,650000,435
1/9/2022,4006,Units,4,650000,423
1/10/2022,4006,Units,4,650000,405
1/11/2022,4006,Units,4,650250,401
1/12/2022,4006,Units,4,650250,392
1/1/2023,4006,Units,4,650250,386
1/2/2023,4006,Units,4,655000,377
1/3/2023,4006,Units,4,655000,376
1/4/2023,4006,Units,4,650250,372
1/5/2023,4006,Units,4,632500,367
1/6/2023,4006,Units,4,620000,367
1/7/2023,4006,Units,4,620000,383
1/8/2023,4006,Units,4,620000,381
1/9/2023,4006,Units,4,625100,394
1/10/2023,4006,Units,4,610000,415
1/11/2023,4006,Units,4,625100,423
1/12/2023,4006,Units,4,622550,431
1/1/2024,4006,Units,4,627550,448
1/2/2024,4006,Units,4,625100,436
1/3/2019,4006,Units,5,417750,218
1/4/2019,4006,Units,5,410000,211
1/5/2019,4006,Units,5,414600,226
1/6/2019,4006,Units,5,422300,220
1/7/2019,4006,Units,5,423000,233
1/8/2019,4006,Units,5,425000,253
1/9/2019,4006,Units,5,427250,256
1/10/2019,4006,Units,5,433750,254
1/11/2019,4006,Units,5,436500,263
1/12/2019,4006,Units,5,441000,276
1/1/2020,4006,Units,5,438000,293
1/2/2020,4006,Units,5,437450,304
1/3/2020,4006,Units,5,438000,315
1/4/2020,4006,Units,5,437500,317
1/5/2020,4006,Units,5,437750,304
1/6/2020,4006,Units,5,439000,306
1/7/2020,4006,Units,5,440000,315
1/8/2020,4006,Units,5,442000,297
1/9/2020,4006,Units,5,440000,302
1/10/2020,4006,Units,5,440000,312
1/11/2020,4006,Units,5,442000,323
1/12/2020,4006,Units,5,442300,322
1/1/2021,4006,Units,5,455000,327
1/2/2021,4006,Units,5,460600,329
1/3/2021,4006,Units,5,456630,346
1/4/2021,4006,Units,5,459600,371
1/5/2021,4006,Units,5,460888,391
1/6/2021,4006,Units,5,456630,408
1/7/2021,4006,Units,5,452698,409
1/8/2021,4006,Units,5,454500,452
1/9/2021,4006,Units,5,455600,492
1/10/2021,4006,Units,5,459130,502
1/11/2021,4006,Units,5,461000,528
1/12/2021,4006,Units,5,461275,548
1/1/2022,4006,Units,5,468175,572
1/2/2022,4006,Units,5,469455,590
1/3/2022,4006,Units,5,474500,600
1/4/2022,4006,Units,5,475000,609
1/5/2022,4006,Units,5,469455,600
1/6/2022,4006,Units,5,464500,592
1/7/2022,4006,Units,5,462500,593
1/8/2022,4006,Units,5,455000,552
1/9/2022,4006,Units,5,450000,522
1/10/2022,4006,Units,5,445000,518
1/11/2022,4006,Units,5,436500,502
1/12/2022,4006,Units,5,432750,484
1/1/2023,4006,Units,5,430000,459
1/2/2023,4006,Units,5,428250,458
1/3/2023,4006,Units,5,422500,466
1/4/2023,4006,Units,5,415000,460
1/5/2023,4006,Units,5,415000,475
1/6/2023,4006,Units,5,415000,490
1/7/2023,4006,Units,5,420500,504
1/8/2023,4006,Units,5,432500,535
1/9/2023,4006,Units,5,430000,552
1/10/2023,4006,Units,5,437500,582
1/11/2023,4006,Units,5,445000,603
1/12/2023,4006,Units,5,448250,610
1/1/2024,4006,Units,5,450000,619
1/2/2024,4006,Units,5,450000,603
1/3/2019,4006,Units,6,375100,78
1/4/2019,4006,Units,6,375100,70
1/5/2019,4006,Units,6,381500,65
1/6/2019,4006,Units,6,380750,58
1/7/2019,4006,Units,6,381500,55
1/8/2019,4006,Units,6,381500,59
1/9/2019,4006,Units,6,390600,63
1/10/2019,4006,Units,6,394800,70
1/11/2019,4006,Units,6,399000,73
1/12/2019,4006,Units,6,411000,77
1/1/2020,4006,Units,6,434500,80
1/2/2020,4006,Units,6,440000,79
1/3/2020,4006,Units,6,435000,80
1/4/2020,4006,Units,6,435000,87
1/5/2020,4006,Units,6,433000,87
1/6/2020,4006,Units,6,399500,100
1/7/2020,4006,Units,6,397500,104
1/8/2020,4006,Units,6,395000,103
1/9/2020,4006,Units,6,396000,111
1/10/2020,4006,Units,6,407000,113
1/11/2020,4006,Units,6,409300,125
1/12/2020,4006,Units,6,409300,123
1/1/2021,4006,Units,6,399500,128
1/2/2021,4006,Units,6,399000,138
1/3/2021,4006,Units,6,409300,151
1/4/2021,4006,Units,6,407400,160
1/5/2021,4006,Units,6,408150,170
1/6/2021,4006,Units,6,410000,173
1/7/2021,4006,Units,6,427500,176
1/8/2021,4006,Units,6,440000,180
1/9/2021,4006,Units,6,443980,178
1/10/2021,4006,Units,6,440000,179
1/11/2021,4006,Units,6,438444,174
1/12/2021,4006,Units,6,435000,171
1/1/2022,4006,Units,6,446250,172
1/2/2022,4006,Units,6,450000,172
1/3/2022,4006,Units,6,450500,176
1/4/2022,4006,Units,6,456000,186
1/5/2022,4006,Units,6,470000,193
1/6/2022,4006,Units,6,470500,220
1/7/2022,4006,Units,6,470500,236
1/8/2022,4006,Units,6,460000,252
1/9/2022,4006,Units,6,462500,265
1/10/2022,4006,Units,6,450000,271
1/11/2022,4006,Units,6,450000,271
1/12/2022,4006,Units,6,447500,278
1/1/2023,4006,Units,6,440000,285
1/2/2023,4006,Units,6,436250,292
1/3/2023,4006,Units,6,430000,288
1/4/2023,4006,Units,6,427500,290
1/5/2023,4006,Units,6,421000,292
1/6/2023,4006,Units,6,414500,275
1/7/2023,4006,Units,6,430000,279
1/8/2023,4006,Units,6,417500,275
1/9/2023,4006,Units,6,440000,272
1/10/2023,4006,Units,6,440000,277
1/11/2023,4006,Units,6,442500,294
1/12/2023,4006,Units,6,445000,302
1/1/2024,4006,Units,6,455000,307
1/2/2024,4006,Units,6,450000,301
1/3/2019,4006,Units,7,388000,27
1/4/2019,4006,Units,7,388000,27
1/5/2019,4006,Units,7,386500,26
1/6/2019,4006,Units,7,389000,26
1/7/2019,4006,Units,7,420000,29
1/8/2019,4006,Units,7,420000,29
1/9/2019,4006,Units,7,415500,32
1/10/2019,4006,Units,7,435000,30
1/11/2019,4006,Units,7,475000,31
1/12/2019,4006,Units,7,450000,31
1/1/2020,4006,Units,7,495000,28
1/2/2020,4006,Units,7,490000,27
1/3/2020,4006,Units,7,502500,24
1/4/2020,4006,Units,7,515000,23
1/5/2020,4006,Units,7,502500,22
1/6/2020,4006,Units,7,490000,21
1/7/2020,4006,Units,7,490000,17
1/8/2020,4006,Units,7,495000,20
1/9/2020,4006,Units,7,515000,17
1/10/2020,4006,Units,7,515000,19
1/11/2020,4006,Units,7,515000,17
1/12/2020,4006,Units,7,507500,16
1/1/2021,4006,Units,7,525000,19
1/2/2021,4006,Units,7,546000,23
1/3/2021,4006,Units,7,561000,24
1/4/2021,4006,Units,7,546000,25
1/5/2021,4006,Units,7,580500,26
1/6/2021,4006,Units,7,576000,29
1/7/2021,4006,Units,7,576000,31
1/8/2021,4006,Units,7,587500,30
1/9/2021,4006,Units,7,563000,36
1/10/2021,4006,Units,7,548000,36
1/11/2021,4006,Units,7,563000,36
1/12/2021,4006,Units,7,580500,38
1/1/2022,4006,Units,7,585000,35
1/2/2022,4006,Units,7,566750,32
1/3/2022,4006,Units,7,553750,34
1/4/2022,4006,Units,7,557500,35
1/5/2022,4006,Units,7,542500,34
1/6/2022,4006,Units,7,500000,31
1/7/2022,4006,Units,7,475000,29
1/8/2022,4006,Units,7,473150,30
1/9/2022,4006,Units,7,492500,26
1/10/2022,4006,Units,7,527500,25
1/11/2022,4006,Units,7,527500,25
1/12/2022,4006,Units,7,527500,23
1/1/2023,4006,Units,7,506250,22
1/2/2023,4006,Units,7,498500,26
1/3/2023,4006,Units,7,527500,25
1/4/2023,4006,Units,7,519750,24
1/5/2023,4006,Units,7,527500,23
1/6/2023,4006,Units,7,527500,25
1/7/2023,4006,Units,7,550000,27
1/8/2023,4006,Units,7,632600,26
1/9/2023,4006,Units,7,644121,29
1/10/2023,4006,Units,7,645200,31
1/11/2023,4006,Units,7,645200,29
1/12/2023,4006,Units,7,644660,28
1/1/2024,4006,Units,7,645200,29
1/2/2024,4006,Units,7,668000,25
1/3/2019,4059,Units,8,406500,80
1/4/2019,4059,Units,8,414000,80
1/5/2019,4059,Units,8,406500,76
1/6/2019,4059,Units,8,423000,74
1/7/2019,4059,Units,8,406500,74
1/8/2019,4059,Units,8,400000,83
1/9/2019,4059,Units,8,395000,77
